Caller,Callee,CallTime,Duration,IMEI,IMSI,CellTowerID,FraudType
+919746317213,+917478163327,2023-01-10 17:07:01,3037,375720901775959,419637549160158,TWR-2679,SIM Swap
+919342331444,+917373399426,2023-08-18 07:47:20,1728,133548126054643,430769548126554,TWR-4811,SIM Swap
+919585650756,+917113971123,2023-08-06 23:10:59,814,831706588729265,476693948205196,TWR-7873,None
+918929338154,+919530876844,2023-04-19 00:55:31,3315,107318062921547,498252357594820,TWR-7924,Vishing
+918193448329,+917667779376,2023-03-25 14:52:10,3127,215076504424313,453468446208273,TWR-2584,Vishing
+918477278577,+919592983555,2023-04-13 17:30:47,3305,921601660539235,475468843572838,TWR-3045,Vishing
+917338444264,+919370996465,2023-04-24 20:37:10,3397,796392992328110,481253744516336,TWR-4150,SIM Swap
+917298737106,+917196814233,2023-09-14 19:25:15,933,425823834345098,411231276005964,TWR-4814,None
+918632629719,+918193887545,2023-06-26 02:05:25,2603,510765664731870,452098651894505,TWR-6820,None
+919878380452,+918146660997,2023-09-30 13:26:21,2799,180391686170027,489363705758323,TWR-3803,SIM Swap
+918051454923,+917701808367,2023-06-29 12:34:38,1554,820579227709346,478386108785092,TWR-4598,SIM Swap
+918392783743,+917240251661,2023-03-30 22:52:57,3366,551668705642492,409312639036062,TWR-4456,SIM Swap
+918351531223,+917913224047,2023-09-12 13:07:52,2044,823787521706597,420106712666281,TWR-5339,None
+918059257080,+919411057787,2023-07-29 07:37:56,1076,758185471675398,456210743257584,TWR-6930,None
+917594130308,+919188398760,2023-07-11 15:54:03,372,153050387132554,415431220936086,TWR-3504,SIM Swap
+917687117441,+919922644564,2023-06-13 22:48:57,2442,533207854193168,483865170464034,TWR-8668,SIM Swap
+918079815404,+919376087131,2023-12-01 07:02:53,47,911459682962855,495941471454027,TWR-9797,Vishing
+919752909971,+918461042543,2023-02-13 07:44:29,1202,278071211394714,400457215261859,TWR-5315,SIM Swap
+917767303988,+919180476188,2023-12-21 10:18:28,435,804026188074518,471449525236135,TWR-4258,None
+918605947756,+917693847829,2023-07-29 11:22:36,3189,697128970019781,400081254310877,TWR-6310,Vishing
+917083651970,+917480468219,2023-12-27 19:49:36,1486,369596417933055,433896130686746,TWR-2290,None
+919087313121,+917297265480,2023-10-23 09:19:33,2181,241595476081076,492849154442077,TWR-8787,SIM Swap
+917709214891,+918138409539,2023-07-24 22:16:34,3573,576413262675238,429811214941376,TWR-9835,SIM Swap
+919962958940,+917863937247,2023-10-04 21:09:57,1276,831697808387385,461655859362929,TWR-9479,Vishing
+917519709079,+918064746525,2023-03-29 06:19:51,262,123683901736603,477956183189090,TWR-4770,SIM Swap
+917945826486,+917030884438,2023-01-28 13:42:12,2899,166286940845750,409484271087060,TWR-1514,Vishing
+917304330003,+919208283728,2023-04-03 10:21:50,1140,646528871719079,475888697293114,TWR-3167,SIM Swap
+919452611418,+919474810179,2023-07-03 13:36:47,995,632523480043935,457289741967261,TWR-4119,None
+917416314667,+919830309370,2023-06-17 09:41:17,1451,562857559844369,407626698307354,TWR-2612,None
+918729245242,+918457293575,2023-11-07 22:03:46,3529,379959322562087,426767059061760,TWR-9786,Vishing
+917602078388,+918811967841,2023-03-13 06:13:56,1140,381257920350997,462363248913554,TWR-2604,None
+919800940984,+919321807489,2023-11-21 16:20:30,60,205007522259843,433268166827941,TWR-3724,Vishing
+919085812759,+919067418686,2023-03-25 00:16:09,3541,285362450397904,400302275387875,TWR-7396,Vishing
+918954246074,+918225136114,2023-06-14 06:42:55,2853,922477463930051,493151637722420,TWR-8973,None
+917815605132,+918274350418,2023-03-26 13:07:09,239,928368534972608,408579378400784,TWR-6138,None
+917215359682,+919509023674,2023-07-05 03:59:27,2059,277255581475323,411276470258786,TWR-4044,None
+919555656321,+917291889680,2023-09-20 05:26:13,3530,554610413572758,480177978269337,TWR-5033,SIM Swap
+919553440342,+917170689150,2023-08-29 13:03:14,335,840136334807779,479549596142604,TWR-9565,Vishing
+918119980130,+917877286584,2023-09-18 02:17:54,2933,368737453120154,455702571667473,TWR-3144,SIM Swap
+919772404776,+918288477634,2023-06-27 13:38:30,1295,946524864275771,410213156210779,TWR-1152,Vishing
+919667858669,+919418039268,2023-02-08 19:53:34,300,339992196720779,437325438560460,TWR-3170,Vishing
+917295456419,+918049193572,2023-05-24 12:14:31,1167,593350685907128,476453998776114,TWR-5956,SIM Swap
+919808806886,+919271782991,2023-01-04 00:54:59,2735,724427329764506,414579968235463,TWR-3200,Vishing
+917495762348,+917459716009,2023-10-16 07:49:30,2266,406635562774314,485123166973403,TWR-4450,SIM Swap
+918472659626,+917874443787,2023-09-24 23:56:15,2597,397219695083146,468756007189745,TWR-5114,None
+917396418889,+919724230947,2023-06-14 12:00:44,3397,149638125372403,446939712806606,TWR-3143,SIM Swap
+918125089309,+917693989311,2023-10-15 20:46:22,1809,894511189667225,478939040834505,TWR-1158,None
